image_id,file_name,width,height,x_min,y_min,x_max,y_max,class_id
ISIC_0000000,ISIC_0000000.jpg,512,512,25,31,451,425,1
ISIC_0000001,ISIC_0000001.jpg,512,512,176,153,326,323,1
ISIC_0000003,ISIC_0000003.jpg,512,512,126,34,426,468,1
ISIC_0000004,ISIC_0000004.jpg,512,512,91,39,361,480,1
ISIC_0000006,ISIC_0000006.jpg,512,512,167,128,314,362,1
ISIC_0000007,ISIC_0000007.jpg,512,512,173,157,347,356,1
ISIC_0000008,ISIC_0000008.jpg,512,512,100,56,405,479,1
ISIC_0000009,ISIC_0000009.jpg,512,512,93,103,368,422,1
ISIC_0000011,ISIC_0000011.jpg,512,512,122,102,378,386,1
ISIC_0000012,ISIC_0000012.jpg,512,512,187,187,312,347,1
ISIC_0000013,ISIC_0000013.jpg,512,512,100,82,396,426,1
ISIC_0000014,ISIC_0000014.jpg,512,512,64,91,405,428,1
ISIC_0000015,ISIC_0000015.jpg,512,512,89,75,364,416,1
ISIC_0000016,ISIC_0000016.jpg,512,512,124,19,370,344,1
ISIC_0000017,ISIC_0000017.jpg,512,512,145,119,344,396,1
ISIC_0000018,ISIC_0000018.jpg,512,512,67,97,400,387,1
ISIC_0000019,ISIC_0000019.jpg,512,512,72,103,390,460,1
ISIC_0000020,ISIC_0000020.jpg,512,512,101,68,320,497,1
ISIC_0000021,ISIC_0000021.jpg,512,512,70,49,371,478,1
ISIC_0000022,ISIC_0000022.jpg,512,512,52,53,459,425,1
ISIC_0000023,ISIC_0000023.jpg,512,512,197,119,425,377,1
ISIC_0000024,ISIC_0000024.jpg,512,512,116,61,433,470,1
ISIC_0000025,ISIC_0000025.jpg,512,512,135,115,373,441,1
ISIC_0000026,ISIC_0000026.jpg,512,512,28,40,498,482,1
ISIC_0000027,ISIC_0000027.jpg,512,512,125,79,345,433,1
ISIC_0000028,ISIC_0000028.jpg,512,512,93,123,400,430,1
ISIC_0000029,ISIC_0000029.jpg,512,512,102,44,426,486,1
ISIC_0000030,ISIC_0000030.jpg,512,512,85,11,468,503,1
ISIC_0000031,ISIC_0000031.jpg,512,512,64,69,407,457,1
ISIC_0000032,ISIC_0000032.jpg,512,512,107,88,386,483,1
ISIC_0000034,ISIC_0000034.jpg,512,512,125,152,429,394,1
ISIC_0000035,ISIC_0000035.jpg,512,512,60,34,452,460,1
ISIC_0000036,ISIC_0000036.jpg,512,512,42,77,405,467,1
ISIC_0000037,ISIC_0000037.jpg,512,512,47,8,468,463,1
ISIC_0000038,ISIC_0000038.jpg,512,512,6,62,471,479,1
ISIC_0000039,ISIC_0000039.jpg,512,512,120,111,371,422,1
ISIC_0000040,ISIC_0000040.jpg,512,512,114,75,406,419,1
ISIC_0000041,ISIC_0000041.jpg,512,512,148,140,279,349,1
ISIC_0000042,ISIC_0000042.jpg,512,512,107,57,397,479,1
ISIC_0000043,ISIC_0000043.jpg,512,512,67,66,418,495,1
ISIC_0000044,ISIC_0000044.jpg,512,512,41,34,460,459,1
ISIC_0000045,ISIC_0000045.jpg,512,512,77,8,371,395,1
ISIC_0000046,ISIC_0000046.jpg,512,512,54,68,430,443,1
ISIC_0000047,ISIC_0000047.jpg,512,512,88,90,355,423,1
ISIC_0000048,ISIC_0000048.jpg,512,512,130,130,293,430,1
ISIC_0000049,ISIC_0000049.jpg,512,512,39,2,484,487,1
ISIC_0000050,ISIC_0000050.jpg,512,512,104,89,452,418,1
ISIC_0000051,ISIC_0000051.jpg,512,512,73,87,415,450,1
ISIC_0000052,ISIC_0000052.jpg,512,512,66,2,482,511,1
ISIC_0000053,ISIC_0000053.jpg,512,512,36,7,423,508,1
ISIC_0000054,ISIC_0000054.jpg,512,512,120,118,375,455,1
ISIC_0000055,ISIC_0000055.jpg,512,512,145,35,503,512,1
ISIC_0000056,ISIC_0000056.jpg,512,512,102,19,476,474,1
ISIC_0000057,ISIC_0000057.jpg,512,512,142,152,355,485,1
ISIC_0000058,ISIC_0000058.jpg,512,512,79,36,451,498,1
ISIC_0000059,ISIC_0000059.jpg,512,512,47,69,425,464,1
ISIC_0000060,ISIC_0000060.jpg,512,512,39,43,393,508,1
ISIC_0000061,ISIC_0000061.jpg,512,512,103,92,411,476,1
ISIC_0000062,ISIC_0000062.jpg,512,512,172,141,298,386,1
ISIC_0000063,ISIC_0000063.jpg,512,512,71,50,414,511,1
ISIC_0000064,ISIC_0000064.jpg,512,512,89,80,377,481,1
ISIC_0000065,ISIC_0000065.jpg,512,512,58,142,473,389,1
ISIC_0000066,ISIC_0000066.jpg,512,512,17,8,448,486,1
ISIC_0000067,ISIC_0000067.jpg,512,512,66,56,331,459,1
ISIC_0000068,ISIC_0000068.jpg,512,512,49,93,420,449,1
ISIC_0000069,ISIC_0000069.jpg,512,512,121,149,359,372,1
ISIC_0000071,ISIC_0000071.jpg,512,512,137,165,330,334,1
ISIC_0000072,ISIC_0000072.jpg,512,512,157,147,327,418,1
ISIC_0000073,ISIC_0000073.jpg,512,512,63,85,450,419,1
ISIC_0000074,ISIC_0000074.jpg,512,512,21,35,509,425,1
ISIC_0000075,ISIC_0000075.jpg,512,512,39,1,472,510,1
ISIC_0000077,ISIC_0000077.jpg,512,512,94,80,429,507,1
ISIC_0000078,ISIC_0000078.jpg,512,512,172,138,348,393,1
ISIC_0000079,ISIC_0000079.jpg,512,512,164,182,330,351,1
ISIC_0000080,ISIC_0000080.jpg,512,512,134,122,373,395,1
ISIC_0000081,ISIC_0000081.jpg,512,512,140,139,333,397,1
ISIC_0000082,ISIC_0000082.jpg,512,512,136,43,388,438,1
ISIC_0000085,ISIC_0000085.jpg,512,512,162,149,372,403,1
ISIC_0000086,ISIC_0000086.jpg,512,512,78,128,420,374,1
ISIC_0000087,ISIC_0000087.jpg,512,512,63,82,479,409,1
ISIC_0000088,ISIC_0000088.jpg,512,512,128,58,373,446,1
ISIC_0000089,ISIC_0000089.jpg,512,512,184,99,334,442,1
ISIC_0000091,ISIC_0000091.jpg,512,512,154,124,325,405,1
ISIC_0000092,ISIC_0000092.jpg,512,512,179,155,363,332,1
ISIC_0000093,ISIC_0000093.jpg,512,512,182,165,352,385,1
ISIC_0000094,ISIC_0000094.jpg,512,512,204,189,370,328,1
ISIC_0000095,ISIC_0000095.jpg,512,512,200,155,328,376,1
ISIC_0000096,ISIC_0000096.jpg,512,512,121,71,427,395,1
ISIC_0000097,ISIC_0000097.jpg,512,512,110,65,423,390,1
ISIC_0000098,ISIC_0000098.jpg,512,512,197,204,297,292,1
ISIC_0000099,ISIC_0000099.jpg,512,512,57,102,456,461,1
ISIC_0000100,ISIC_0000100.jpg,512,512,122,31,423,492,1
ISIC_0000101,ISIC_0000101.jpg,512,512,110,12,412,475,1
ISIC_0000102,ISIC_0000102.jpg,512,512,210,200,298,320,1
ISIC_0000103,ISIC_0000103.jpg,512,512,34,39,386,439,1
ISIC_0000104,ISIC_0000104.jpg,512,512,126,107,404,394,1
ISIC_0000105,ISIC_0000105.jpg,512,512,171,125,318,317,1
ISIC_0000107,ISIC_0000107.jpg,512,512,125,47,352,432,1
ISIC_0000108,ISIC_0000108.jpg,512,512,170,117,410,393,1
ISIC_0000109,ISIC_0000109.jpg,512,512,54,43,424,510,1
ISIC_0000110,ISIC_0000110.jpg,512,512,155,143,359,318,1
ISIC_0000111,ISIC_0000111.jpg,512,512,23,27,498,498,1
ISIC_0000112,ISIC_0000112.jpg,512,512,138,78,398,369,1
ISIC_0000113,ISIC_0000113.jpg,512,512,124,114,352,377,1
ISIC_0000115,ISIC_0000115.jpg,512,512,179,91,364,484,1
ISIC_0000116,ISIC_0000116.jpg,512,512,33,58,385,449,1
ISIC_0000117,ISIC_0000117.jpg,512,512,165,78,431,371,1
ISIC_0000119,ISIC_0000119.jpg,512,512,165,90,357,428,1
ISIC_0000120,ISIC_0000120.jpg,512,512,85,24,406,489,1
ISIC_0000121,ISIC_0000121.jpg,512,512,96,97,372,454,1
ISIC_0000122,ISIC_0000122.jpg,512,512,95,83,458,431,1
ISIC_0000123,ISIC_0000123.jpg,512,512,132,102,413,349,1
ISIC_0000124,ISIC_0000124.jpg,512,512,132,56,374,447,1
ISIC_0000125,ISIC_0000125.jpg,512,512,240,214,306,293,1
ISIC_0000126,ISIC_0000126.jpg,512,512,106,90,385,423,1
ISIC_0000127,ISIC_0000127.jpg,512,512,55,3,428,461,1
ISIC_0000128,ISIC_0000128.jpg,512,512,154,125,370,384,1
ISIC_0000129,ISIC_0000129.jpg,512,512,206,154,354,401,1
ISIC_0000131,ISIC_0000131.jpg,512,512,117,33,379,372,1
ISIC_0000132,ISIC_0000132.jpg,512,512,205,118,306,268,1
ISIC_0000133,ISIC_0000133.jpg,512,512,201,117,388,377,1
ISIC_0000134,ISIC_0000134.jpg,512,512,216,131,329,399,1
ISIC_0000135,ISIC_0000135.jpg,512,512,173,159,346,391,1
ISIC_0000136,ISIC_0000136.jpg,512,512,34,20,451,473,1
ISIC_0000137,ISIC_0000137.jpg,512,512,117,107,450,384,1
ISIC_0000138,ISIC_0000138.jpg,512,512,172,132,390,415,1
ISIC_0000139,ISIC_0000139.jpg,512,512,130,78,392,429,1
ISIC_0000140,ISIC_0000140.jpg,512,512,136,50,440,462,1
ISIC_0000141,ISIC_0000141.jpg,512,512,136,148,417,387,1
